Page,Item,Title,Date
1,1,강원 최대 210㎜ 폭우…고립되고 무너지고 피해 속출,2024/09/21
1,2,가을 폭우에 침수·나무 쓰러짐 피해… 빗길 교통사고도 잇따라,2024/09/20
1,3,[속보] 강원 호우특보 발효… 비 피해 속출,2024/09/20
1,4,요란한 가을비…호우특보 발령된 강원 피해 속출,2024/09/20
1,5,“가을손님 맞는다”…볼거리·놀거리 늘린 홍천,2024/09/20
1,6,"홍천군, 올해 출산한 산모에 산후조리 비용 지원",2024/09/20
1,7,"홍천군, ‘아이 먼저’ 교통안전 캠페인 실시",2024/09/20
1,8,홍천 주민을 위한 판소리 한마당 “얼쑤” 21일 열려,2024/09/20
1,9,"홍천군, 산후조리 비용 지원",2024/09/20
1,10,"홍천군, 군민을 위한 ‘한국 전통 판소리 대공연’ 개최",2024/09/20
2,1,"홍천군, 귀농·귀촌인 지역민과 함께하는 나눔 한마당",2024/09/20
2,2,"홍천군 청년창업지원센터, 청년의 날 ‘청년창업 공유마당’ 개최",2024/09/20
2,3,"""이러다 반도체 시설 못 돌리겠네""...전력 인프라 깔기 어려운 까닭은",2024/09/20
2,4,[뉴스 플러스+] 11년 표류 끝 본궤도 안착… 갈등 봉합·탄탄한 전략 관건,2024/09/20
2,5,홍천 영귀미면 '홍천 숲속 놀이공원' 명칭 확정,2024/09/20
2,6,[피플&피플] 강원도사회공헌장 받은 평창한우마을 영농조합법인,2024/09/19
2,7,[동정] 황영래 한국음악협회 홍천군지부장,2024/09/19
2,8,"삼척시, 강원특별자치도 성인문해교육 시화전 잇따라 수상",2024/09/19
2,9,[피플&피플] 강원도사회공헌장 받은 평창한우마을 영농조합법인,2024/09/19
2,10,[포토뉴스] 홍천군수와 군민의 소통의 날,2024/09/19
3,1,"홍천군, ‘군수와 군민과의 소통의 날’ 운영",2024/09/19
3,2,"홍천교육지원청, 2024년 명절맞이 청렴다짐 트레킹",2024/09/19
3,3,항체클러스터 도시 홍천 … 바이오 꿈나무 키운다,2024/09/19
3,4,"홍천군, 제2회 전국 국악동아리 경연대회 접수",2024/09/19
3,5,강원 성인문해교육 시화전 대상에 삼척 김분남씨,2024/09/19
3,6,"삼척, 성인문해교육 잇따라 수상",2024/09/19
3,7,홍천군 2024년 주민 참여예산 반영 사업 모니터링 진행,2024/09/19
3,8,"홍천군보건소 치매안심센터, 2024년 치매극복선도단체 지정 현판식 진행",2024/09/19
3,9,"홍천군, 2024년 주민 참여예산 반영 사업 모니터링",2024/09/19
3,10,"삼척시, 2024년 강원자치도 성인문해교육 시화전 잇따라 수상!",2024/09/19
4,1,"""홍천 교통·문화 개선 청소년 살기 좋은 도시로""",2024/09/19
4,2,쌀 대신 메밀 심고 관광객 유치 … 홍천 마을의 첫 도전 ‘대박’,2024/09/19
4,3,역주행 차량에 일가족 참변…추석 연휴 사건사고 ‘얼룩’,2024/09/18
4,4,[동정] 심영주 홍천농협조합장,2024/09/18
4,5,벌쏘임·화재·수난사고 잇따라… 사건사고 얼룩진 추석연휴,2024/09/18
4,6,[알립니다]남궁억 선생 애국혼 계승합니다 - 제8회 한서대상 수상자 공모,2024/09/18
4,7,[포토뉴스] 한수원 홍천양수건설소 홍천 쌀 구매 및 기부,2024/09/18
4,8,"홍천군, 19일까지 주민참여예산 온라인 주민투표",2024/09/18
4,9,제2의 ‘페이커’ 모여라…홍천서 아마추어 e스포츠 대회,2024/09/18
4,10,밤새 강원서 교통사고 잇따라…11명 중경상,2024/09/18
5,1,추석까지 푹푹 찌는 '역대급 무더위'…전국 곳곳 폭염경보 발효,2024/09/17
5,2,"""추석 귀경길 서두르지 마세요""…백일홍‧전통놀이 등 지역 축제 눈길",2024/09/17
5,3,[포토뉴스] 홍천군 “추석 때 전통시장 많이 찾아주세요”,2024/09/14
5,4,[포토뉴스] 홍천군노인복지관 ‘추석애(愛) 함께해윷’ 개최,2024/09/14
5,5,"""따뜻한 추석 보내세요"" 홍천서 추석맞이 행사 잇따라",2024/09/14
5,6,[포토뉴스] 한수원 홍천양수건설소 홍천 쌀 구매 및 기부,2024/09/13
5,7,"파크골프 동호인들 뭉친 축제의 장…""실력 발휘 못했다"" 곳곳 아쉬움도",2024/09/13
5,8,[부고] 김찬영(지역신문발전위원장)씨 부친상,2024/09/13
5,9,"홍천소방서, 추석 연휴 ‘산악사고 주의’ 당부",2024/09/13
5,10,"홍천군 팔봉산관광지, 추석 ‘시설 사용료 무료’ 운영",2024/09/13
6,1,홍천군 2025년 주민참여예산 반영사업 주민투표 실시,2024/09/13
6,2,"홍천군, 별빛나루도서관 <김윤 작가와의 만남> 강연",2024/09/13
6,3,"홍천군, 2024 홍천 e스포츠 페스티벌 참가자 모집",2024/09/13
6,4,"홍천군, 추석맞이 전통시장 장보기 행사",2024/09/13
6,5,"홍천군, 풍요로운 추석 ‘홍천 메밀꽃 축제’ 개막!",2024/09/13
6,6,"홍천군, 2025년 주민참여예산 반영사업 주민투표 실시",2024/09/13
6,7,"홍천군, 홍천읍 희망리 공영주차장 지하1층·지상1층 신축",2024/09/13
6,8,"홍천군, 진리·희망리 일원 도시재생사업 주민설명회",2024/09/13
6,9,"홍천군, 신장대리 ‘주민들이 직접 도심정원’ 만든다",2024/09/13
6,10,홍천 동키마을 메밀꽃 축제 13일 개막한다,2024/09/13
7,1,"평창백일홍축제·홍천 메밀꽃축제, 오늘 개막",2024/09/13
7,2,"연휴 응급실 지키는 의료진 ""할 일 할 뿐""",2024/09/13
7,3,“춘천·홍천 추진 ‘AI 기반 신약개발’ 글로벌 대세 된다”,2024/09/13
7,4,공직선거법상 선거운동 금지에도 특정후보 선거유세한 60대 벌금형,2024/09/13
7,5,“교통량 급증하는 추석 연휴 사고 주의하세요”,2024/09/12
7,6,"신영재 홍천군수, 추석 명절 맞아 장애인·노인시설에 위문금 전달",2024/09/12
7,7,[포토뉴스]도노인회 경로당광역지원센터 홍천편 실버스파크쇼 진행,2024/09/12
7,8,트랙터 마차타고 메밀밭 투어 … 홍천서 메밀꽃 축제,2024/09/12
7,9,"신영재 홍천군수, 추석 맞이 사회복지시설 위문",2024/09/12
7,10,[포토뉴스] 양양 농축협 임직원 홍천에 고항사랑기부금 기탁,2024/09/12
8,1,"홍천군, 재해위험지역 정비 예산 161억원 확보",2024/09/12
8,2,"홍천군, 2024 농촌 지도 사업 자체 평가회 개최",2024/09/12
8,3,2024 홍천목재정원박람회 오는 23일부터 홍천읍 신장대리서 개최,2024/09/12
8,4,"홍천군, 새로운 홍천 추진위원회 정책 세미나 개최",2024/09/12
8,5,"홍천군, 자살 예방의 날 기념행사 개최",2024/09/12
8,6,"홍천군, 고객 만족 행정 구현 인허가 대행업체 간담회 개최",2024/09/12
8,7,"홍천군, 2025년 재해위험지역 정비사업 ‘국도 비 총 161억 원’ 확보",2024/09/12
8,8,"“댕냥이도 안 챙기면 섭섭해요”…영양제부터 입욕제까지 한가위 선물, 나보다 낫네",2024/09/12
8,9,강원 밤사이 교통사고 잇따라…5명 부상,2024/09/12
8,10,강원 7080 문해학습자 한자리…갈고 닦은 실력 뽐냈다,2024/09/12
9,1,"김진태 지사, 추석 명절 앞두고 제11기동사단 방문",2024/09/12
9,2,홍천 농촌활력촉진지구 개발 후보지 면적 ‘영귀미면’ 최대,2024/09/12
9,3,“유명 정치인과 친하다”…식사비·인사비 가로챈 70대 벌금형,2024/09/12
9,4,강원 홍천 호우주의보…강릉은 호우주의보 해제,2024/09/11
9,5,홍천 중앙고속도로서 탑차가 트럭 추돌…40대 부상,2024/09/11
9,6,"도장애인체육회, 2024 보치아 어울림대회 개최",2024/09/11
